Cluster,Capacity_MLD,Elevation,Longitude,Latitude
0,1.71288,297,77.72411275756154,22.749388798573847
1,1.032048,287,77.73446684303163,22.75625749848592
2,1.408968,299,77.71354045199993,22.757941071252173
3,0.273456,296,77.70955277805564,22.733324331248195
4,0.3294,295,77.76161320506858,22.754644895351785
5,1.266516,294,77.71778938185409,22.74651584002277
6,1.249236,295,77.70617683907642,22.762444850233717
7,2.959416,287,77.72699164342605,22.756558739341546
8,2.0196,301,77.74203242819334,22.74340660060635
9,0.491184,303,77.73933261064366,22.747144203433
